Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2021/2022,Arsenal,2022-02-24,2022-02-25,19:45 ,Matchweek 20,Thu,Home,W,2,1,Wolves,2.7,1,55,"59,888",Alexandre Lacazette,4-2-3-1,Martin Atkinson,Match Report,,02-24-2022 19:45 ,Arsenal until:2022-02-24,Arsenal until:2022-02-25
2021/2022,Tottenham,2022-02-23,2022-02-24,19:30 ,Matchweek 13,Wed,Away,L,0,1,Burnley,0.9,1.1,64,"19,488",Hugo Lloris,3/4/2003,Graham Scott,Match Report,,02-23-2022 19:30 ,Tottenham until:2022-02-23,Tottenham until:2022-02-24
2021/2022,Arsenal,2022-02-19,2022-02-20,15:00 ,Matchweek 26,Sat,Home,W,2,1,Brentford,2.1,0.6,67,"59,249",Alexandre Lacazette,4-2-3-1,Jonathan Moss,Match Report,,02-19-2022 15:00 ,Arsenal until:2022-02-19,Arsenal until:2022-02-20
2021/2022,Tottenham,2022-02-19,2022-02-20,17:30 ,Matchweek 26,Sat,Away,W,3,2,Manchester City,1.8,2.1,29,"53,201",Hugo Lloris,3/4/2003,Anthony Taylor,Match Report,,02-19-2022 17:30 ,Tottenham until:2022-02-19,Tottenham until:2022-02-20
2021/2022,Tottenham,2022-02-13,2022-02-14,14:00 ,Matchweek 25,Sun,Home,L,0,2,Wolves,1.4,1.3,59,"56,452",Hugo Lloris,3/4/2003,Kevin Friend,Match Report,,02-13-2022 14:00 ,Tottenham until:2022-02-13,Tottenham until:2022-02-14
2021/2022,Arsenal,2022-02-10,2022-02-11,19:45 ,Matchweek 24,Thu,Away,W,1,0,Wolves,1.8,0.9,40,"31,523",Alexandre Lacazette,4-2-3-1,Michael Oliver,Match Report,,02-10-2022 19:45 ,Arsenal until:2022-02-10,Arsenal until:2022-02-11
2021/2022,Tottenham,2022-02-09,2022-02-10,19:45 ,Matchweek 24,Wed,Home,L,2,3,Southampton,1.5,2.7,48,"54,012",Hugo Lloris,3/4/2003,David Coote,Match Report,,02-09-2022 19:45 ,Tottenham until:2022-02-09,Tottenham until:2022-02-10
2021/2022,Arsenal,2022-01-23,2022-01-24,14:00 ,Matchweek 23,Sun,Home,D,0,0,Burnley,1.2,0.4,74,"59,255",Alexandre Lacazette,4-1-4-1,David Coote,Match Report,,01-23-2022 14:00 ,Arsenal until:2022-01-23,Arsenal until:2022-01-24
2021/2022,Tottenham,2022-01-23,2022-01-24,16:30 ,Matchweek 23,Sun,Away,L,0,2,Chelsea,0.4,0.9,35,"40,020",Hugo Lloris,4/4/2002,Paul Tierney,Match Report,,01-23-2022 16:30 ,Tottenham until:2022-01-23,Tottenham until:2022-01-24
2021/2022,Tottenham,2022-01-19,2022-01-20,19:30 ,Matchweek 17,Wed,Away,W,3,2,Leicester City,3.7,1.5,52,"31,986",Hugo Lloris,3/5/2002,Jonathan Moss,Match Report,,01-19-2022 19:30 ,Tottenham until:2022-01-19,Tottenham until:2022-01-20
2021/2022,Arsenal,2022-01-01,2022-01-02,12:30 ,Matchweek 21,Sat,Home,L,1,2,Manchester City,1,1.8,30,"59,757",Alexandre Lacazette,4-2-3-1,Stuart Attwell,Match Report,,01-01-2022 12:30 ,Arsenal until:2022-01-01,Arsenal until:2022-01-02
2021/2022,Tottenham,2022-01-01,2022-01-02,15:00 ,Matchweek 21,Sat,Away,W,1,0,Watford,1.9,0.3,74,"20,391",Hugo Lloris,3/4/2003,Robert Jones,Match Report,,01-01-2022 15:00 ,Tottenham until:2022-01-01,Tottenham until:2022-01-02
