Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2020/2021,Arsenal,2021-02-21,2021-02-22,16:30 ,Matchweek 25,Sun,Home,L,0,1,Manchester City,0.3,2,44,,Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,,02-21-2021 16:30 ,Arsenal until:2021-02-21,Arsenal until:2021-02-22
2020/2021,Tottenham,2021-02-21,2021-02-22,12:00 ,Matchweek 25,Sun,Away,L,1,2,West Ham,1.2,1.1,67,,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,02-21-2021 12:00 ,Tottenham until:2021-02-21,Tottenham until:2021-02-22
2020/2021,Arsenal,2021-02-14,2021-02-15,16:30 ,Matchweek 24,Sun,Home,W,4,2,Leeds United,2.4,0.7,47,,Pierre-Emerick Aubameyang,4-2-3-1,Stuart Attwell,Match Report,,02-14-2021 16:30 ,Arsenal until:2021-02-14,Arsenal until:2021-02-15
2020/2021,Tottenham,2021-02-13,2021-02-14,17:30 ,Matchweek 24,Sat,Away,L,0,3,Manchester City,0.6,2.9,39,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,02-13-2021 17:30 ,Tottenham until:2021-02-13,Tottenham until:2021-02-14
2020/2021,Tottenham,2021-02-07,2021-02-08,12:00 ,Matchweek 23,Sun,Home,W,2,0,West Brom,1.5,0.4,65,,Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,,02-07-2021 12:00 ,Tottenham until:2021-02-07,Tottenham until:2021-02-08
2020/2021,Arsenal,2021-02-06,2021-02-07,12:30 ,Matchweek 23,Sat,Away,L,0,1,Aston Villa,1.1,1.1,65,,Héctor Bellerín,4-2-3-1,Chris Kavanagh,Match Report,,02-06-2021 12:30 ,Arsenal until:2021-02-06,Arsenal until:2021-02-07
2020/2021,Tottenham,2021-02-04,2021-02-05,20:00 ,Matchweek 22,Thu,Home,L,0,1,Chelsea,0.3,2.2,42,,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,02-04-2021 20:00 ,Tottenham until:2021-02-04,Tottenham until:2021-02-05
2020/2021,Arsenal,2021-02-02,2021-02-03,18:00 ,Matchweek 22,Tue,Away,L,1,2,Wolves,0.6,1.5,45,,Héctor Bellerín,4-2-3-1,Craig Pawson,Match Report,,02-02-2021 18:00 ,Arsenal until:2021-02-02,Arsenal until:2021-02-03
2020/2021,Tottenham,2021-01-31,2021-02-01,19:15 ,Matchweek 21,Sun,Away,L,0,1,Brighton,0.5,1.9,57,,Hugo Lloris,3/4/2003,Peter Bankes,Match Report,,01-31-2021 19:15 ,Tottenham until:2021-01-31,Tottenham until:2021-02-01
2020/2021,Arsenal,2021-01-30,2021-01-31,17:30 ,Matchweek 21,Sat,Home,D,0,0,Manchester Utd,1.1,1.5,43,,Héctor Bellerín,4-2-3-1,Michael Oliver,Match Report,,01-30-2021 17:30 ,Arsenal until:2021-01-30,Arsenal until:2021-01-31
2020/2021,Tottenham,2021-01-28,2021-01-29,20:00 ,Matchweek 20,Thu,Home,L,1,3,Liverpool,0.2,2.1,50,,Hugo Lloris,3/4/2003,Martin Atkinson,Match Report,,01-28-2021 20:00 ,Tottenham until:2021-01-28,Tottenham until:2021-01-29
2020/2021,Arsenal,2021-01-26,2021-01-27,20:15 ,Matchweek 20,Tue,Away,W,3,1,Southampton,2,1.2,43,,Héctor Bellerín,4-2-3-1,Kevin Friend,Match Report,,01-26-2021 20:15 ,Arsenal until:2021-01-26,Arsenal until:2021-01-27
2020/2021,Arsenal,2021-01-18,2021-01-19,20:00 ,Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,2.8,0.2,66,,Pierre-Emerick Aubameyang,4-2-3-1,David Coote,Match Report,,01-18-2021 20:00 ,Arsenal until:2021-01-18,Arsenal until:2021-01-19
2020/2021,Tottenham,2021-01-17,2021-01-18,14:00 ,Matchweek 19,Sun,Away,W,3,1,Sheffield Utd,1.2,0.7,57,,Hugo Lloris,3/4/2003,Andre Marriner,Match Report,,01-17-2021 14:00 ,Tottenham until:2021-01-17,Tottenham until:2021-01-18
2020/2021,Arsenal,2021-01-14,2021-01-15,20:00 ,Matchweek 18,Thu,Home,D,0,0,Crystal Palace,0.6,0.9,67,,Pierre-Emerick Aubameyang,4-2-3-1,Andre Marriner,Match Report,,01-14-2021 20:00 ,Arsenal until:2021-01-14,Arsenal until:2021-01-15
2020/2021,Tottenham,2021-01-13,2021-01-14,20:15 ,Matchweek 16,Wed,Home,D,1,1,Fulham,2.3,0.9,52,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,01-13-2021 20:15 ,Tottenham until:2021-01-13,Tottenham until:2021-01-14
2020/2021,Arsenal,2021-01-02,2021-01-03,20:00 ,Matchweek 17,Sat,Away,W,4,0,West Brom,3.3,0.4,61,,Pierre-Emerick Aubameyang,4-2-3-1,Martin Atkinson,Match Report,,01-02-2021 20:00 ,Arsenal until:2021-01-02,Arsenal until:2021-01-03
2020/2021,Tottenham,2021-01-02,2021-01-03,12:30 ,Matchweek 17,Sat,Home,W,3,0,Leeds United,2.6,1,38,,Hugo Lloris,4-2-3-1,David Coote,Match Report,,01-02-2021 12:30 ,Tottenham until:2021-01-02,Tottenham until:2021-01-03
2020/2021,Arsenal,2020-12-29,2020-12-30,18:00 ,Matchweek 16,Tue,Away,W,1,0,Brighton,1.2,0.8,50,,Pierre-Emerick Aubameyang,4-2-3-1,Martin Atkinson,Match Report,,12-29-2020 18:00 ,Arsenal until:2020-12-29,Arsenal until:2020-12-30
2020/2021,Tottenham,2020-12-27,2020-12-28,19:15 ,Matchweek 15,Sun,Away,D,1,1,Wolves,0.4,1,45,,Hugo Lloris,3-4-1-2,Paul Tierney,Match Report,,12-27-2020 19:15 ,Tottenham until:2020-12-27,Tottenham until:2020-12-28
2020/2021,Arsenal,2020-12-26,2020-12-27,17:30 ,Matchweek 15,Sat,Home,W,3,1,Chelsea,2.1,2.3,41,,Héctor Bellerín,4-2-3-1,Michael Oliver,Match Report,,12-26-2020 17:30 ,Arsenal until:2020-12-26,Arsenal until:2020-12-27
2020/2021,Tottenham,2020-12-20,2020-12-21,14:15 ,Matchweek 14,Sun,Home,L,0,2,Leicester City,1.1,1.5,55,,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,12-20-2020 14:15 ,Tottenham until:2020-12-20,Tottenham until:2020-12-21
2020/2021,Arsenal,2020-12-19,2020-12-20,17:30 ,Matchweek 14,Sat,Away,L,1,2,Everton,1.4,0.8,57,,Rob Holding,3/4/2003,Andre Marriner,Match Report,,12-19-2020 17:30 ,Arsenal until:2020-12-19,Arsenal until:2020-12-20
2020/2021,Arsenal,2020-12-16,2020-12-17,18:00 ,Matchweek 13,Wed,Home,D,1,1,Southampton,0.7,1.1,36,,Pierre-Emerick Aubameyang,3/4/2003,Paul Tierney,Match Report,,12-16-2020 18:00 ,Arsenal until:2020-12-16,Arsenal until:2020-12-17
2020/2021,Tottenham,2020-12-16,2020-12-17,20:00 ,Matchweek 13,Wed,Away,L,1,2,Liverpool,1.3,1.2,25,"2,000",Hugo Lloris,4/4/2002,Anthony Taylor,Match Report,,12-16-2020 20:00 ,Tottenham until:2020-12-16,Tottenham until:2020-12-17
2020/2021,Arsenal,2020-12-13,2020-12-14,19:15 ,Matchweek 12,Sun,Home,L,0,1,Burnley,1.5,0.9,65,"2,000",Pierre-Emerick Aubameyang,4-2-3-1,Graham Scott,Match Report,,12-13-2020 19:15 ,Arsenal until:2020-12-13,Arsenal until:2020-12-14
2020/2021,Tottenham,2020-12-13,2020-12-14,14:15 ,Matchweek 12,Sun,Away,D,1,1,Crystal Palace,1.1,1.2,56,"2,000",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,12-13-2020 14:15 ,Tottenham until:2020-12-13,Tottenham until:2020-12-14
2020/2021,Arsenal,2020-12-06,2020-12-07,16:30 ,Matchweek 11,Sun,Away,L,0,2,Tottenham,0.8,0.5,68,"2,000",Pierre-Emerick Aubameyang,4/4/2002,Martin Atkinson,Match Report,,12-06-2020 16:30 ,Arsenal until:2020-12-06,Arsenal until:2020-12-07
2020/2021,Tottenham,2020-12-06,2020-12-07,16:30 ,Matchweek 11,Sun,Home,W,2,0,Arsenal,0.5,0.8,32,"2,000",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,12-06-2020 16:30 ,Tottenham until:2020-12-06,Tottenham until:2020-12-07
2020/2021,Arsenal,2020-11-29,2020-11-30,19:15 ,Matchweek 10,Sun,Home,L,1,2,Wolves,1.2,1.4,56,,Pierre-Emerick Aubameyang,4-2-3-1,Michael Oliver,Match Report,,11-29-2020 19:15 ,Arsenal until:2020-11-29,Arsenal until:2020-11-30
2020/2021,Tottenham,2020-11-29,2020-11-30,16:30 ,Matchweek 10,Sun,Away,D,0,0,Chelsea,0.2,1,40,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,11-29-2020 16:30 ,Tottenham until:2020-11-29,Tottenham until:2020-11-30
2020/2021,Arsenal,2020-11-22,2020-11-23,16:30 ,Matchweek 9,Sun,Away,D,0,0,Leeds United,0.9,2.5,35,,Pierre-Emerick Aubameyang,4-2-3-1,Anthony Taylor,Match Report,,11-22-2020 16:30 ,Arsenal until:2020-11-22,Arsenal until:2020-11-23
2020/2021,Tottenham,2020-11-21,2020-11-22,17:30 ,Matchweek 9,Sat,Home,W,2,0,Manchester City,0.7,1.3,33,,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,11-21-2020 17:30 ,Tottenham until:2020-11-21,Tottenham until:2020-11-22
2020/2021,Arsenal,2020-11-08,2020-11-09,19:15 ,Matchweek 8,Sun,Home,L,0,3,Aston Villa,1.5,1.7,58,,Pierre-Emerick Aubameyang,3/4/2003,Martin Atkinson,Match Report,,11-08-2020 19:15 ,Arsenal until:2020-11-08,Arsenal until:2020-11-09
2020/2021,Tottenham,2020-11-08,2020-11-09,12:00 ,Matchweek 8,Sun,Away,W,1,0,West Brom,1.6,0.8,59,,Harry Kane,4-2-3-1,Andy Madley,Match Report,,11-08-2020 12:00 ,Tottenham until:2020-11-08,Tottenham until:2020-11-09
2020/2021,Arsenal,2020-11-01,2020-11-02,16:30 ,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,1.1,0.3,47,,Pierre-Emerick Aubameyang,3/4/2003,Mike Dean,Match Report,,11-01-2020 16:30 ,Arsenal until:2020-11-01,Arsenal until:2020-11-02
2020/2021,Tottenham,2020-11-01,2020-11-02,19:15 ,Matchweek 7,Sun,Home,W,2,1,Brighton,1.8,0.4,44,,Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,11-01-2020 19:15 ,Tottenham until:2020-11-01,Tottenham until:2020-11-02
2020/2021,Tottenham,2020-10-26,2020-10-27,20:00 ,Matchweek 6,Mon,Away,W,1,0,Burnley,0.8,0.6,61,,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,10-26-2020 20:00 ,Tottenham until:2020-10-26,Tottenham until:2020-10-27
2020/2021,Arsenal,2020-10-25,2020-10-26,19:15 ,Matchweek 6,Sun,Home,L,0,1,Leicester City,0.9,1.2,57,,Pierre-Emerick Aubameyang,3/4/2003,Craig Pawson,Match Report,,10-25-2020 19:15 ,Arsenal until:2020-10-25,Arsenal until:2020-10-26
2020/2021,Tottenham,2020-10-18,2020-10-19,16:30 ,Matchweek 5,Sun,Home,D,3,3,West Ham,1.2,2.1,51,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,10-18-2020 16:30 ,Tottenham until:2020-10-18,Tottenham until:2020-10-19
2020/2021,Arsenal,2020-10-17,2020-10-18,17:30 ,Matchweek 5,Sat,Away,L,0,1,Manchester City,0.9,1.5,41,,Pierre-Emerick Aubameyang,3/4/2003,Chris Kavanagh,Match Report,,10-17-2020 17:30 ,Arsenal until:2020-10-17,Arsenal until:2020-10-18
2020/2021,Arsenal,2020-10-04,2020-10-05,14:00 ,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,0.4,0.2,63,,Pierre-Emerick Aubameyang,4/3/2003,Lee Mason,Match Report,,10-04-2020 14:00 ,Arsenal until:2020-10-04,Arsenal until:2020-10-05
2020/2021,Tottenham,2020-10-04,2020-10-05,16:30 ,Matchweek 4,Sun,Away,W,6,1,Manchester Utd,3.8,0.9,62,,Hugo Lloris,4/3/2003,Anthony Taylor,Match Report,,10-04-2020 16:30 ,Tottenham until:2020-10-04,Tottenham until:2020-10-05
2020/2021,Arsenal,2020-09-28,2020-09-29,20:00 ,Matchweek 3,Mon,Away,L,1,3,Liverpool,1.2,3.2,33,,Pierre-Emerick Aubameyang,3/4/2003,Craig Pawson,Match Report,,09-28-2020 20:00 ,Arsenal until:2020-09-28,Arsenal until:2020-09-29
2020/2021,Tottenham,2020-09-27,2020-09-28,14:00 ,Matchweek 3,Sun,Home,D,1,1,Newcastle Utd,2.3,1,66,,Hugo Lloris,4-2-3-1,Peter Bankes,Match Report,,09-27-2020 14:00 ,Tottenham until:2020-09-27,Tottenham until:2020-09-28
2020/2021,Tottenham,2020-09-20,2020-09-21,12:00 ,Matchweek 2,Sun,Away,W,5,2,Southampton,2.5,1.5,49,,Hugo Lloris,4/3/2003,David Coote,Match Report,,09-20-2020 12:00 ,Tottenham until:2020-09-20,Tottenham until:2020-09-21
2020/2021,Arsenal,2020-09-19,2020-09-20,20:00 ,Matchweek 2,Sat,Home,W,2,1,West Ham,1.4,1.9,62,,Pierre-Emerick Aubameyang,3/4/2003,Michael Oliver,Match Report,,09-19-2020 20:00 ,Arsenal until:2020-09-19,Arsenal until:2020-09-20
2020/2021,Tottenham,2020-09-13,2020-09-14,16:30 ,Matchweek 1,Sun,Home,L,0,1,Everton,1,1.4,51,,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,09-13-2020 16:30 ,Tottenham until:2020-09-13,Tottenham until:2020-09-14
2020/2021,Arsenal,2020-09-12,2020-09-13,12:30 ,Matchweek 1,Sat,Away,W,3,0,Fulham,1.8,0.2,55,,Pierre-Emerick Aubameyang,3/4/2003,Chris Kavanagh,Match Report,,09-12-2020 12:30 ,Arsenal until:2020-09-12,Arsenal until:2020-09-13
2019/2020,Arsenal,2020-07-26,2020-07-27,16:00 ,Matchweek 38,Sun,Home,W,3,2,Watford,1.7,3.4,50,,Pierre-Emerick Aubameyang,4-2-3-1,Mike Dean,Match Report,,07-26-2020 16:00 ,Arsenal until:2020-07-26,Arsenal until:2020-07-27
2019/2020,Tottenham,2020-07-26,2020-07-27,16:00 ,Matchweek 38,Sun,Away,D,1,1,Crystal Palace,0.4,0.8,52,,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,07-26-2020 16:00 ,Tottenham until:2020-07-26,Tottenham until:2020-07-27
2019/2020,Arsenal,2020-07-21,2020-07-22,20:15 ,Matchweek 37,Tue,Away,L,0,1,Aston Villa,0.7,0.6,68,,Pierre-Emerick Aubameyang,3/4/2003,Chris Kavanagh,Match Report,,07-21-2020 20:15 ,Arsenal until:2020-07-21,Arsenal until:2020-07-22
2019/2020,Tottenham,2020-07-19,2020-07-20,16:00 ,Matchweek 37,Sun,Home,W,3,0,Leicester City,0.5,1.7,30,,Hugo Lloris,4/3/2003,Anthony Taylor,Match Report,,07-19-2020 16:00 ,Tottenham until:2020-07-19,Tottenham until:2020-07-20
2019/2020,Arsenal,2020-07-15,2020-07-16,20:15 ,Matchweek 36,Wed,Home,W,2,1,Liverpool,1.1,2.8,31,,Alexandre Lacazette,3/4/2003,Paul Tierney,Match Report,,07-15-2020 20:15 ,Arsenal until:2020-07-15,Arsenal until:2020-07-16
2019/2020,Tottenham,2020-07-15,2020-07-16,18:00 ,Matchweek 36,Wed,Away,W,3,1,Newcastle Utd,1.3,1.1,48,,Hugo Lloris,4-2-3-1,David Coote,Match Report,,07-15-2020 18:00 ,Tottenham until:2020-07-15,Tottenham until:2020-07-16
2019/2020,Arsenal,2020-07-12,2020-07-13,16:30 ,Matchweek 35,Sun,Away,L,1,2,Tottenham,0.8,1.5,62,,Pierre-Emerick Aubameyang,3/4/2003,Michael Oliver,Match Report,,07-12-2020 16:30 ,Arsenal until:2020-07-12,Arsenal until:2020-07-13
2019/2020,Tottenham,2020-07-12,2020-07-13,16:30 ,Matchweek 35,Sun,Home,W,2,1,Arsenal,1.5,0.8,38,,Hugo Lloris,4-4-1-1,Michael Oliver,Match Report,,07-12-2020 16:30 ,Tottenham until:2020-07-12,Tottenham until:2020-07-13
2019/2020,Tottenham,2020-07-09,2020-07-10,18:00 ,Matchweek 34,Thu,Away,D,0,0,Bournemouth,0.6,1.1,63,,Hugo Lloris,4/3/2003,Paul Tierney,Match Report,,07-09-2020 18:00 ,Tottenham until:2020-07-09,Tottenham until:2020-07-10
2019/2020,Arsenal,2020-07-07,2020-07-08,20:15 ,Matchweek 34,Tue,Home,D,1,1,Leicester City,1.7,1.7,39,,Pierre-Emerick Aubameyang,3/4/2003,Chris Kavanagh,Match Report,,07-07-2020 20:15 ,Arsenal until:2020-07-07,Arsenal until:2020-07-08
2019/2020,Tottenham,2020-07-06,2020-07-07,20:00 ,Matchweek 33,Mon,Home,W,1,0,Everton,0.6,0.4,52,,Hugo Lloris,4/3/2003,Graham Scott,Match Report,,07-06-2020 20:00 ,Tottenham until:2020-07-06,Tottenham until:2020-07-07
2019/2020,Arsenal,2020-07-04,2020-07-05,17:30 ,Matchweek 33,Sat,Away,W,2,0,Wolves,1.2,0.9,47,,Pierre-Emerick Aubameyang,3/4/2003,Michael Oliver,Match Report,,07-04-2020 17:30 ,Arsenal until:2020-07-04,Arsenal until:2020-07-05
2019/2020,Tottenham,2020-07-02,2020-07-03,18:00 ,Matchweek 32,Thu,Away,L,1,3,Sheffield Utd,1,1.6,68,,Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,,07-02-2020 18:00 ,Tottenham until:2020-07-02,Tottenham until:2020-07-03
2019/2020,Arsenal,2020-07-01,2020-07-02,18:00 ,Matchweek 32,Wed,Home,W,4,0,Norwich City,2.1,0.2,52,,Pierre-Emerick Aubameyang,3/4/2003,Peter Bankes,Match Report,,07-01-2020 18:00 ,Arsenal until:2020-07-01,Arsenal until:2020-07-02
2019/2020,Arsenal,2020-06-25,2020-06-26,18:00 ,Matchweek 31,Thu,Away,W,2,0,Southampton,2.7,0.7,47,,Pierre-Emerick Aubameyang,4/3/2003,Graham Scott,Match Report,,06-25-2020 18:00 ,Arsenal until:2020-06-25,Arsenal until:2020-06-26
2019/2020,Tottenham,2020-06-23,2020-06-24,20:15 ,Matchweek 31,Tue,Home,W,2,0,West Ham,1.6,0.8,64,,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,06-23-2020 20:15 ,Tottenham until:2020-06-23,Tottenham until:2020-06-24
2019/2020,Arsenal,2020-06-20,2020-06-21,15:00 ,Matchweek 30,Sat,Away,L,1,2,Brighton,1.3,1,58,,Pierre-Emerick Aubameyang,4/3/2003,Martin Atkinson,Match Report,,06-20-2020 15:00 ,Arsenal until:2020-06-20,Arsenal until:2020-06-21
2019/2020,Tottenham,2020-06-19,2020-06-20,20:15 ,Matchweek 30,Fri,Home,D,1,1,Manchester Utd,0.3,1.7,40,,Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,06-19-2020 20:15 ,Tottenham until:2020-06-19,Tottenham until:2020-06-20
2019/2020,Arsenal,2020-06-17,2020-06-18,20:15 ,Matchweek 28,Wed,Away,L,0,3,Manchester City,0.2,3.3,33,,Pierre-Emerick Aubameyang,4-3-2-1,Anthony Taylor,Match Report,,06-17-2020 20:15 ,Arsenal until:2020-06-17,Arsenal until:2020-06-18
2019/2020,Arsenal,2020-03-07,2020-03-08,15:00 ,Matchweek 29,Sat,Home,W,1,0,West Ham,1.1,1.7,67,"60,335",Pierre-Emerick Aubameyang,4-2-3-1,Martin Atkinson,Match Report,,03-07-2020 15:00 ,Arsenal until:2020-03-07,Arsenal until:2020-03-08
2019/2020,Tottenham,2020-03-07,2020-03-08,17:30 ,Matchweek 29,Sat,Away,D,1,1,Burnley,1.2,2.4,54,"20,496",Hugo Lloris,3/4/2003,Jonathan Moss,Match Report,,03-07-2020 17:30 ,Tottenham until:2020-03-07,Tottenham until:2020-03-08
2019/2020,Tottenham,2020-03-01,2020-03-02,14:00 ,Matchweek 28,Sun,Home,L,2,3,Wolves,1.5,2.6,65,"58,064",Harry Winks,3/4/2003,Stuart Attwell,Match Report,,03-01-2020 14:00 ,Tottenham until:2020-03-01,Tottenham until:2020-03-02
2019/2020,Arsenal,2020-02-23,2020-02-24,16:30 ,Matchweek 27,Sun,Home,W,3,2,Everton,1.2,1.9,51,"60,296",Pierre-Emerick Aubameyang,4-2-3-1,Stuart Attwell,Match Report,,02-23-2020 16:30 ,Arsenal until:2020-02-23,Arsenal until:2020-02-24
2019/2020,Tottenham,2020-02-22,2020-02-23,12:30 ,Matchweek 27,Sat,Away,L,1,2,Chelsea,0.4,1.6,52,"40,608",Hugo Lloris,3/4/2003,Michael Oliver,Match Report,,02-22-2020 12:30 ,Tottenham until:2020-02-22,Tottenham until:2020-02-23
2019/2020,Arsenal,2020-02-16,2020-02-17,16:30 ,Matchweek 26,Sun,Home,W,4,0,Newcastle Utd,2,0.9,68,"60,188",Pierre-Emerick Aubameyang,4-2-3-1,Lee Mason,Match Report,,02-16-2020 16:30 ,Arsenal until:2020-02-16,Arsenal until:2020-02-17
2019/2020,Tottenham,2020-02-16,2020-02-17,14:00 ,Matchweek 26,Sun,Away,W,3,2,Aston Villa,3.5,1.9,45,"41,874",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,02-16-2020 14:00 ,Tottenham until:2020-02-16,Tottenham until:2020-02-17
2019/2020,Arsenal,2020-02-02,2020-02-03,14:00 ,Matchweek 25,Sun,Away,D,0,0,Burnley,1,1.9,57,"21,048",Pierre-Emerick Aubameyang,4-2-3-1,Chris Kavanagh,Match Report,,02-02-2020 14:00 ,Arsenal until:2020-02-02,Arsenal until:2020-02-03
2019/2020,Tottenham,2020-02-02,2020-02-03,16:30 ,Matchweek 25,Sun,Home,W,2,0,Manchester City,0.3,3,33,"61,022",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,02-02-2020 16:30 ,Tottenham until:2020-02-02,Tottenham until:2020-02-03
2019/2020,Tottenham,2020-01-22,2020-01-23,19:30 ,Matchweek 24,Wed,Home,W,2,1,Norwich City,1.9,1.6,52,"58,182",Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,,01-22-2020 19:30 ,Tottenham until:2020-01-22,Tottenham until:2020-01-23
2019/2020,Arsenal,2020-01-21,2020-01-22,20:15 ,Matchweek 24,Tue,Away,D,2,2,Chelsea,0.5,2.8,40,"40,577",Héctor Bellerín,4-2-3-1,Stuart Attwell,Match Report,,01-21-2020 20:15 ,Arsenal until:2020-01-21,Arsenal until:2020-01-22
2019/2020,Arsenal,2020-01-18,2020-01-19,15:00 ,Matchweek 23,Sat,Home,D,1,1,Sheffield Utd,1.3,0.7,60,"60,310",Alexandre Lacazette,4-2-3-1,Mike Dean,Match Report,,01-18-2020 15:00 ,Arsenal until:2020-01-18,Arsenal until:2020-01-19
2019/2020,Tottenham,2020-01-18,2020-01-19,12:30 ,Matchweek 23,Sat,Away,D,0,0,Watford,1.6,1.8,57,"21,366",Jan Vertonghen,4/3/2003,Michael Oliver,Match Report,,01-18-2020 12:30 ,Tottenham until:2020-01-18,Tottenham until:2020-01-19
2019/2020,Arsenal,2020-01-11,2020-01-12,12:30 ,Matchweek 22,Sat,Away,D,1,1,Crystal Palace,1.3,0.4,57,"25,468",Pierre-Emerick Aubameyang,4-2-3-1,Paul Tierney,Match Report,,01-11-2020 12:30 ,Arsenal until:2020-01-11,Arsenal until:2020-01-12
2019/2020,Tottenham,2020-01-11,2020-01-12,17:30 ,Matchweek 22,Sat,Home,L,0,1,Liverpool,1.6,1.9,33,"61,023",Toby Alderweireld,4/4/2002,Martin Atkinson,Match Report,,01-11-2020 17:30 ,Tottenham until:2020-01-11,Tottenham until:2020-01-12
2019/2020,Arsenal,2020-01-01,2020-01-02,20:00 ,Matchweek 21,Wed,Home,W,2,0,Manchester Utd,1.5,0.8,49,"60,328",Pierre-Emerick Aubameyang,4-2-3-1,Chris Kavanagh,Match Report,,01-01-2020 20:00 ,Arsenal until:2020-01-01,Arsenal until:2020-01-02
2019/2020,Tottenham,2020-01-01,2020-01-02,15:00 ,Matchweek 21,Wed,Away,L,0,1,Southampton,0.5,1.4,58,"30,976",Harry Kane,4-3-2-1,Mike Dean,Match Report,,01-01-2020 15:00 ,Tottenham until:2020-01-01,Tottenham until:2020-01-02
2019/2020,Arsenal,2019-12-29,2019-12-30,14:00 ,Matchweek 20,Sun,Home,L,1,2,Chelsea,0.8,1.5,42,"60,309",Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,,12-29-2019 14:00 ,Arsenal until:2019-12-29,Arsenal until:2019-12-30
2019/2020,Tottenham,2019-12-28,2019-12-29,17:30 ,Matchweek 20,Sat,Away,D,2,2,Norwich City,1.8,0.4,58,"27,072",Harry Kane,3/5/2002,Kevin Friend,Match Report,,12-28-2019 17:30 ,Tottenham until:2019-12-28,Tottenham until:2019-12-29
2019/2020,Arsenal,2019-12-26,2019-12-27,15:00 ,Matchweek 19,Thu,Away,D,1,1,Bournemouth,1.5,0.9,62,"10,234",Pierre-Emerick Aubameyang,4-2-3-1,Stuart Attwell,Match Report,,12-26-2019 15:00 ,Arsenal until:2019-12-26,Arsenal until:2019-12-27
2019/2020,Tottenham,2019-12-26,2019-12-27,12:30 ,Matchweek 19,Thu,Home,W,2,1,Brighton,1.5,0.6,54,"56,308",Harry Kane,3/4/2003,Graham Scott,Match Report,,12-26-2019 12:30 ,Tottenham until:2019-12-26,Tottenham until:2019-12-27
2019/2020,Tottenham,2019-12-22,2019-12-23,16:30 ,Matchweek 18,Sun,Home,L,0,2,Chelsea,0.4,1.4,46,"61,104",Harry Kane,4-2-3-1,Anthony Taylor,Match Report,,12-22-2019 16:30 ,Tottenham until:2019-12-22,Tottenham until:2019-12-23
2019/2020,Arsenal,2019-12-21,2019-12-22,12:30 ,Matchweek 18,Sat,Away,D,0,0,Everton,0.7,0.4,57,"39,336",Pierre-Emerick Aubameyang,4-2-3-1,Kevin Friend,Match Report,,12-21-2019 12:30 ,Arsenal until:2019-12-21,Arsenal until:2019-12-22
2019/2020,Arsenal,2019-12-15,2019-12-16,16:30 ,Matchweek 17,Sun,Home,L,0,3,Manchester City,0.4,1.8,42,"60,031",Pierre-Emerick Aubameyang,4-2-3-1,Paul Tierney,Match Report,,12-15-2019 16:30 ,Arsenal until:2019-12-15,Arsenal until:2019-12-16
2019/2020,Tottenham,2019-12-15,2019-12-16,14:00 ,Matchweek 17,Sun,Away,W,2,1,Wolves,0.9,0.8,43,"31,674",Harry Kane,4-2-3-1,Stuart Attwell,Match Report,,12-15-2019 14:00 ,Tottenham until:2019-12-15,Tottenham until:2019-12-16
2019/2020,Arsenal,2019-12-09,2019-12-10,20:00 ,Matchweek 16,Mon,Away,W,3,1,West Ham,1.7,0.6,65,"59,936",Pierre-Emerick Aubameyang,4-2-3-1,Mike Dean,Match Report,,12-09-2019 20:00 ,Arsenal until:2019-12-09,Arsenal until:2019-12-10
2019/2020,Tottenham,2019-12-07,2019-12-08,15:00 ,Matchweek 16,Sat,Home,W,5,0,Burnley,2.3,0.5,48,"58,401",Harry Kane,4-2-3-1,Kevin Friend,Match Report,,12-07-2019 15:00 ,Tottenham until:2019-12-07,Tottenham until:2019-12-08
